时间 M2同比增长率
1999.12	14.7
2000.01	14.9
2000.02	12.8
2000.03	13
2000.04	13.7
2000.05	12.7
2000.06	13.7
2000.07	13.4
2000.08	13.3
2000.09	13.4
2000.10	12.3
2000.11	12.4
2000.12	12.3
2001.01	13.5
2001.02	12
2001.03	13.2
2001.04	12.8
2001.05	12.1
2001.06	14.3
2001.07	13.5
2001.08	13.6
2001.09	16.4
2001.10	12.9
2001.11	17.6
2001.12	14.4
2002.01	13.1
2002.02	13
2002.03	14.4
2002.04	14.1
2002.05	14
2002.06	14.7
2002.07	14.4
2002.08	15.5
2002.09	16.5
2002.10	17
2002.11	16.6
2002.12	16.8
2003.01	19.3
2003.02	18.1
2003.03	18.5
2003.04	19.2
2003.05	20.2
2003.06	20.8
2003.07	20.7
2003.08	21.6
2003.09	20.7
2003.10	21
2003.11	20.4
2003.12	19.6
2004.01	18.1
2004.02	19.4
2004.03	19.1
2004.04	19.1
2004.05	17.5
2004.06	16.2
2004.07	15.3
2004.08	13.6
2004.09	13.9
2004.10	13.5
2004.11	14
2004.12	14.6
2005.01	14.1
2005.02	13.9
2005.03	14
2005.04	14.1
2005.05	14.7
2005.06	15.7
2005.07	16.3
2005.08	17.3
2005.09	17.9
2005.10	18
2005.11	18.3
2005.12	17.6
2006.01	19.2
2006.02	18.8
2006.03	18.8
2006.04	18.9
2006.05	19.1
2006.06	18.4
2006.07	18.4
2006.08	17.9
2006.09	16.8
2006.10	17.1
2006.11	16.8
2006.12	16.9
2007.01	15.8
2007.02	17.8
2007.03	17.3
2007.04	17.1
2007.05	16.7
2007.06	17.1
2007.07	18.5
2007.08	18.1
2007.09	18.5
2007.10	18.5
2007.11	18.5
2007.12	16.7
2008.01	18.9
2008.02	17.4
2008.03	16.2
2008.04	16.9
2008.05	18.1
2008.06	17.4
2008.07	16.4
2008.08	16
2008.09	15.3
2008.10	15
2008.11	14.8
2008.12	17.8
2009.01	18.8
2009.02	20.5
2009.03	25.5
2009.04	26
2009.05	25.7
2009.06	28.5
2009.07	28.4
2009.08	28.5
2009.09	29.3
2009.10	29.4
2009.11	29.7
2009.12	27.7
2010.01	26
2010.02	25.5
2010.03	22.5
2010.04	21.5
2010.05	21
2010.06	18.5
2010.07	17.6
2010.08	19.2
2010.09	19
2010.10	19.3
2010.11	19.5
2010.12	19.7
2011.01	17.2
2011.02	15.7
2011.03	16.6
2011.04	15.3
2011.05	15.1
2011.06	15.9
2011.07	14.7
2011.08	13.6
2011.09	13
2011.10	12.9
2011.11	12.7
2011.12	13.6
2012.01	12.4
2012.02	13
2012.03	13.4
2012.04	12.8
2012.05	13.2
2012.06	13.6
2012.07	13.9
2012.08	13.5
2012.09	14.8
2012.10	14.1
2012.11	13.9
2012.12	13.8
2013.01	15.9
2013.02	15.2
2013.03	15.7
2013.04	16.1
2013.05	15.8
2013.06	14
2013.07	14.5
2013.08	14.7
2013.09	14.2
2013.10	14.3
2013.11	14.2
2013.12	13.6
2014.01	13.2
2014.02	13.3
2014.03	12.1
2014.04	13.2
2014.05	13.4
2014.06	14.7
2014.07	13.5
2014.08	12.8
2014.09	12.9
2014.10	12.6
